Gene	ExpA	ExpB	FoldChange	log2FC	ExpFreqA	ExpFreqB	TotalA	TotalB	ExpFractionA	ExpFractionB	fishers.pval	wilcoxon.pval	combined.pval	adjusted.pval
HAVCR2	1.28336502271607	0.177831703867458	7.21673916858266	2.85134711301602	49	27	1107	1107	0.044263775971093	0.024390243902439	0.0137323070297449	0.00900026479615254	0.00123575926186518	0.00165719960873673
KIAA1257	1.40097115920621	0.545513100531251	2.56817142950714	1.36074150785161	62	37	1107	1107	0.0560072267389341	0.033423667570009	0.0132216291566255	0.00943449247634857	0.00124605691490219	0.00167073134142746
NDUFA1	18.8017380501849	21.3033976908272	0.882569922556557	-0.180217512900775	787	721	1107	1107	0.71093044263776	0.651309846431798	0.00302152070091502	0.0414331977550227	0.00125011839002918	0.00167589840684596
ZNF555	0.857866363412935	2.13246678548228	0.402288265052119	-1.3136984404387	55	84	1107	1107	0.0496838301716351	0.0758807588075881	0.0139030607494935	0.00903731050928266	0.00125420615356136	0.00168109899093774
MFAP1	3.56227168812146	2.65329481404099	1.34258419730452	0.425012566590355	145	107	1107	1107	0.130984643179765	0.0966576332429991	0.0131650637506199	0.00955360938794494	0.00125535219365681	0.00168235550711901
BMPR1A	0.0396767734175613	0.00720629242915738	5.50585114434505	2.4609656058982	19	6	1107	1107	0.017163504968383	0.00542005420054201	0.0140940853094932	0.00893050503685721	0.00125619119510289	0.00168320019745885
UACA	0.229688854490618	1.50459075713641	0.152658690345652	-2.71161837522993	24	45	1107	1107	0.021680216802168	0.040650406504065	0.0138798945335317	0.00909058519584031	0.00125896629723968	0.00168663840319568
IGBP1	4.58684693369982	4.97328927966132	0.922296427126833	-0.116697585865863	220	171	1107	1107	0.19873532068654	0.154471544715447	0.00741591574492362	0.0170574892616648	0.00126184363881106	0.00169021241438485
RMND1	1.06523896304432	0.779571054967538	1.36644242530102	0.450424673558459	82	53	1107	1107	0.0740740740740741	0.047877145438121	0.0126316214304398	0.0100307342393501	0.00126370615061988	0.00169242612167873
THAP7	2.27473549127763	4.86529510524852	0.46754316892797	-1.09682851764531	124	163	1107	1107	0.112014453477868	0.147244805781391	0.0160902736424137	0.00796550629560141	0.00127682384726519	0.00170971016573033
ZNF721	2.52792333309225	2.87020425110035	0.88074684305938	-0.183200696340259	191	146	1107	1107	0.172538392050587	0.131887985546522	0.00916534913963481	0.0140294189573569	0.00128056350515403	0.00171414849279125
GS1-57L11.1	0.0939023784318173	0.117740333572246	0.797537900418795	-0.326375014947778	19	6	1107	1107	0.017163504968383	0.00542005420054201	0.0140940853094932	0.00912228561367289	0.00128043582792626	0.00171414849279125
C1GALT1C1	1.34255245343526	0.859612105927572	1.5618119430584	0.64322074979841	62	37	1107	1107	0.0560072267389341	0.033423667570009	0.0132216291566255	0.00982382949652157	0.0012922259964983	0.00172947272846976
YIPF3	6.14610157454894	5.13443325560594	1.19703602492805	0.259466570997354	273	222	1107	1107	0.246612466124661	0.200542005420054	0.0107130503106218	0.0121603429577851	0.00129569162418238	0.00173382328671494
FANCG	2.9542792994627	1.18369665196379	2.4958077684527	1.31950681954472	111	78	1107	1107	0.100271002710027	0.0704607046070461	0.0147555369994166	0.00883277067010156	0.00129620965335903	0.00173422874159598
SLC41A3	2.44709961160306	2.2777671345197	1.07434143487151	0.103452566985839	104	71	1107	1107	0.0939476061427281	0.0641373080397471	0.0115317914731256	0.0113181569500361	0.00129787651217664	0.0017361708526629
BRD1	3.59813401738875	2.98261989963877	1.20636693191262	0.270668788112846	186	143	1107	1107	0.168021680216802	0.129177958446251	0.0120065770043243	0.010894343768852	0.00130042659496594	0.00173929361333338
DDHD2	5.8849735917942	5.44720553647055	1.08036562093952	0.111519636694792	295	242	1107	1107	0.266485998193315	0.218608852755194	0.00988939996179128	0.0132387457645938	0.00130149485884275	0.00174043376497543
DPP9	1.49993583809401	1.09550539551107	1.36917247896735	0.453304198879935	131	94	1107	1107	0.118337850045167	0.0849141824751581	0.0112047531565063	0.0116981043307372	0.00130284591648178	0.00174195164396976
BLCAP	5.68787063261778	3.32152844701577	1.71242568695387	0.776041381714401	217	173	1107	1107	0.196025293586269	0.156278229448961	0.0163691705580879	0.00801642693769588	0.00130416791763036	0.00174343017664328
PDE7B	0.40363603647684	0.501689106155048	0.804554118327009	-0.313738627803104	37	18	1107	1107	0.033423667570009	0.016260162601626	0.0132728797252776	0.00990579611202236	0.00130645756797514	0.00174591222629984
ZNF417	0.779105127486679	0.429199742187382	1.81525068844644	0.860168800013863	57	33	1107	1107	0.0514905149051491	0.029810298102981	0.0129078292199529	0.0101848042408715	0.00130632596043656	0.00174591222629984
KIAA1958	0.97528021381476	0.106966096261989	9.11765735028817	3.18866319245243	41	21	1107	1107	0.037037037037037	0.018970189701897	0.0137575769842487	0.00956352448667316	0.00130728403412252	0.00174669366188596
PDCD7	7.00628665072194	6.42883898995292	1.08982145324707	0.124091795906439	244	195	1107	1107	0.220415537488708	0.176151761517615	0.010456924164169	0.0125842308097463	0.0013074754664359	0.00174669366188596
BRIX1	12.5419575841283	9.94969564360858	1.26053680769471	0.334038245529513	398	344	1107	1107	0.359530261969286	0.310749774164408	0.0169939393858153	0.00775300234785888	0.00130892032839477	0.00174833429090821
MRPS35	5.96962761630449	4.78096283556189	1.2486245598692	0.320339748332185	234	187	1107	1107	0.211382113821138	0.168925022583559	0.0126686269764211	0.0104064775598506	0.00130965052920645	0.00174901995662362
ZBTB18	0.795684224666337	0.309954417232482	2.56710077491663	1.36013993191596	45	24	1107	1107	0.040650406504065	0.021680216802168	0.0138798945335317	0.00955863992218287	0.00131712677230889	0.00175842201931323
STARD4	1.29661082726689	3.65786147439045	0.354472370357591	-1.49625491509972	99	135	1107	1107	0.0894308943089431	0.121951219512195	0.0154004409080226	0.00861372366452664	0.00131696811197535	0.00175842201931323
CHD3	7.10593146822109	8.32152385110082	0.853921901249022	-0.227823966298081	385	324	1107	1107	0.347786811201445	0.292682926829268	0.00625472734497279	0.021219071183724	0.00131754270893926	0.0017586861879502
AMIGO2	0.777397258878548	0.181235566523124	4.28942990491527	2.10078591625504	34	16	1107	1107	0.030713640469738	0.014453477868112	0.0142232690401424	0.00937204572919953	0.00132273374430562	0.00176532312557088
C21orf33	15.7012861483147	11.3366201180746	1.38500593517121	0.469892158674269	461	405	1107	1107	0.416440831074977	0.365853658536585	0.0165866469901389	0.00804671887355622	0.00132422338504155	0.00176701879555925
IDE	1.94144123856837	1.1582014528209	1.67625522644599	0.745241830358504	113	79	1107	1107	0.102077687443541	0.0713640469738031	0.0125309512333605	0.010755042556965	0.00133584042364487	0.0017822254783616
ZNF84	9.1960313233372	6.23919774211491	1.47391246494137	0.559650845908581	295	242	1107	1107	0.266485998193315	0.218608852755194	0.00988939996179128	0.0136949255034642	0.00134175348206153	0.0017898183646752
IK	14.6040654467106	24.5987814139129	0.593690606090373	-0.752216809225708	480	522	1107	1107	0.43360433604336	0.471544715447154	0.0799901654711069	0.00169352042327313	0.00134202410190274	0.0017898833110378
PABPN1	4.39580513062222	5.162140537415	0.851546969471596	-0.231841986880325	436	369	1107	1107	0.393857271906052	0.333333333333333	0.00353375941944854	0.0384369658072029	0.00134524797805898	0.00179388639931311
HIST1H2AG	3.09954997394424	1.47275739532423	2.10458965189026	1.0735389673091	121	87	1107	1107	0.109304426377597	0.0785907859078591	0.0160554209852272	0.00846259733821346	0.00134563594993005	0.00179410711459512
LINC00909	2.98691122980745	2.42413952796537	1.23215318068528	0.301181622329548	115	81	1107	1107	0.103884372177055	0.0731707317073171	0.0133815445655435	0.0101917555423853	0.00135018366210087	0.00179987293137909
FAM168B	5.60947495248042	4.94813752279274	1.13365380946696	0.180980143263349	261	211	1107	1107	0.235772357723577	0.190605239385727	0.0109521112397038	0.012490963845216	0.00135392988746167	0.0018045685907087
MRPL16	34.653589377616	29.9689582361216	1.15631611564822	0.209535858161552	684	636	1107	1107	0.617886178861789	0.574525745257453	0.0417444894292562	0.00327871343080155	0.00135451522688197	0.00180505044692714
STAP2	0.797340617426634	0.106803750233778	7.46547397147919	2.90023385776042	34	16	1107	1107	0.030713640469738	0.014453477868112	0.0142232690401424	0.00962900219397538	0.00135529515995175	0.00180579141995884
RP6-206I17.2	0.293543894842073	0.415725806279901	0.706099766740088	-0.502056054716187	48	26	1107	1107	0.043360433604336	0.023486901535682	0.0125276599711764	0.010934362136753	0.00135552717958665	0.00180580223048667
ENPP4	0.727898425987597	1.80088216780571	0.404189923694179	-1.30689473857703	50	78	1107	1107	0.04516711833785	0.0704607046070461	0.013667259636994	0.0100394047579265	0.00135756570074726	0.00180821921990531
ZMYM3	3.66547153726183	3.19122477073689	1.14860964068521	0.199888575934936	163	122	1107	1107	0.147244805781391	0.110207768744354	0.0110378576370258	0.0124394255282334	0.00135839687130444	0.0018090275374951
CHKB	0.570857715299487	0.978004565694606	0.583696370470468	-0.776709997577845	134	174	1107	1107	0.121047877145438	0.157181571815718	0.0165138323369612	0.00831765648002323	0.00135885732576723	0.00180934197330571
CIT	0.588957591985137	0.406840030441238	1.44763923880937	0.533702118148093	53	30	1107	1107	0.047877145438121	0.02710027100271	0.0133889371714249	0.0102907339397631	0.00136264154875918	0.00181408122990142
TTYH3	0.882092956230963	0.62118581409376	1.42001464975152	0.505905813543228	95	64	1107	1107	0.0858175248419151	0.0578139114724481	0.013314828373576	0.0103802365321303	0.00136645531285228	0.00181885824362991
FARSA	16.2140650970882	12.3506856360153	1.31280688173352	0.39265470659132	474	425	1107	1107	0.428184281842818	0.383920505871725	0.037751728620008	0.00367499397362938	0.00137113146188493	0.0018247813927561
FTSJ3	2.24982773382939	1.47892989351169	1.52125380905461	0.605260875295499	132	96	1107	1107	0.119241192411924	0.0867208672086721	0.0142461786515951	0.00977474368850873	0.00137570849756579	0.00183057070332751
LINC01004	1.1929871307767	0.678567016104468	1.75809773016294	0.814015270084553	68	42	1107	1107	0.0614272809394761	0.037940379403794	0.0141415011778221	0.00989327140697062	0.00138150478354519	0.00183798021763312
PHACTR4	7.17748266469119	9.68690412020315	0.740947012133808	-0.432557721135149	347	402	1107	1107	0.313459801264679	0.363143631436314	0.0152546904121922	0.0091814310438883	0.00138287296538128	0.00183949702553192
TSR3	7.06717192414847	5.63134021815681	1.25497157876596	0.327654691954767	297	246	1107	1107	0.268292682926829	0.222222222222222	0.0134738725270303	0.0104386761611086	0.00138810265366077	0.00184614906031895
RP11-356I2.4	4.0916004715215	3.4767962542072	1.17683067179169	0.23490675322231	170	128	1107	1107	0.15356820234869	0.115627822944896	0.0105860610649986	0.0133255527041273	0.00139178918446978	0.00185074687102205
TM6SF1	1.49928657294291	0.460905031762007	3.25291864836285	1.70173474273839	74	47	1107	1107	0.0668473351400181	0.042457091237579	0.0147499608544659	0.00962957760640136	0.00140039305082729	0.00186188096850018
UBE2K	7.58513552821528	6.24616538275908	1.21436674557995	0.280204189407041	298	248	1107	1107	0.269196025293586	0.224028906955736	0.0156483882044658	0.00909507971868692	0.00140293936321971	0.00186495895242574
