"gene"	"Mean_pre-TP53-sAML"	"Mean_CP-TP53-MPN"	"log2fc"	"ExpressingCells_pre-TP53-sAML"	"nCells_pre-TP53-sAML"	"nCells_CP-TP53-MPN"	"ExpressingCells_CP-TP53-MPN"	"ExpressingFraction_pre-TP53-sAML"	"ExpressingFraction_CP-TP53-MPN"	"chisq.test.p"	"fisher.test.p"	"wilcoxon"	"combined.fisher"	"p.adjusted"	"class"	"Name"
"KATNBL1"	1.69338353376197	0.393914045323159	-1.29946948843881	296	273	132	34	0.445945945945946	0.124542124542125	7.82735006959654e-17	9.97698777947954e-18	1.37072311853356e-17	1.08003551062859e-32	2.10520521731724e-30	"up_in_pre-TP53-sAML"	NA
"SQSTM1"	0.811553838845088	2.42338126965268	1.61182743080759	296	273	95	180	0.320945945945946	0.659340659340659	1.39482206841831e-15	4.81729394882967e-16	2.88877748263352e-19	1.09877875960152e-32	2.12053421605473e-30	"up_in_CP-TP53-MPN"	NA
"ERCC-00171"	3.28704722489955	5.28138899253381	1.99434176763426	296	273	202	258	0.682432432432432	0.945054945054945	4.28694596271379e-15	1.26191262538204e-16	2.08521343501062e-18	2.06088928015029e-32	3.93831900477348e-30	"up_in_CP-TP53-MPN"	NA
"KLHL24"	0.843849413129128	2.33007751765073	1.4862281045216	296	273	71	161	0.239864864864865	0.58974358974359	4.48664373320762e-17	1.3649112469779e-17	2.00219295927513e-17	2.13931810025166e-32	4.04850372913644e-30	"up_in_CP-TP53-MPN"	NA
"MPLKIP"	2.80355788407407	0.810973848461651	-1.99258403561242	296	273	161	61	0.543918918918919	0.223443223443223	9.66842512579275e-15	2.84530596853281e-15	1.15718155748673e-19	2.57134634002861e-32	4.81929642883055e-30	"up_in_pre-TP53-sAML"	NA
"RP11-264I13.2"	0.162676716457848	0.990779481901946	0.828102765444098	296	273	18	93	0.0608108108108108	0.340659340659341	9.55062774585642e-17	8.03898192694243e-18	4.61935610657817e-17	2.89562958886791e-32	5.37539161392508e-30	"NA"	NA
"CSRNP1"	0.321847895004043	1.4444659776484	1.12261808264435	296	273	31	112	0.10472972972973	0.41025641025641	1.06688278552184e-16	1.62409805537146e-17	3.4343675462046e-17	4.32661063879485e-32	7.94182562199321e-30	"up_in_CP-TP53-MPN"	NA
"RGPD6"	0.338879959690098	1.23778157239282	0.898901612702719	296	273	41	126	0.138513513513514	0.461538461538462	6.18802771676107e-17	1.32815866110632e-17	4.23206243983545e-17	4.35961082266198e-32	7.94182562199321e-30	"NA"	NA
"SNX9"	0.476233321761695	1.94011378117798	1.46388045941628	296	273	41	124	0.138513513513514	0.454212454212454	2.42683895317308e-16	5.48759730337985e-17	1.11051872266952e-17	4.72172790072339e-32	8.52184446675003e-30	"up_in_CP-TP53-MPN"	NA
"IRF1"	1.49320275540981	3.70794638123659	2.21474362582678	296	273	123	199	0.415540540540541	0.728937728937729	9.28648554845409e-14	3.40038737022927e-14	3.02417951839525e-20	7.91381959212121e-32	1.41519423384979e-29	"up_in_CP-TP53-MPN"	NA
"OAZ1"	6.55606058255643	4.34086770547615	-2.21519287708028	296	273	284	233	0.959459459459459	0.853479853479853	2.26254163595332e-05	1.4966789903789e-05	7.6711308001905e-29	8.82299408592119e-32	1.56067943799169e-29	"up_in_pre-TP53-sAML"	NA
"DENND3"	0.34245300862151	1.43673052633497	1.09427751771345	296	273	31	112	0.10472972972973	0.41025641025641	1.06688278552184e-16	1.62409805537146e-17	7.12166960835933e-17	8.88751372958532e-32	1.56067943799169e-29	"up_in_CP-TP53-MPN"	NA
"TIMM8B"	2.25786456727873	0.7604850059817	-1.49737956129703	296	273	168	62	0.567567567567568	0.227106227106227	2.7858320376218e-16	9.95134592995934e-17	2.3014429491881e-17	1.7441742222544e-31	3.03548606608775e-29	"up_in_pre-TP53-sAML"	NA
"GUCY1A3"	3.1094215645668	1.11600874991468	-1.99341281465211	296	273	181	75	0.611486486486487	0.274725274725275	1.43184547971312e-15	5.89961975121438e-16	4.71049868555118e-18	2.11102912384572e-31	3.64143183026555e-29	"up_in_pre-TP53-sAML"	NA
"MTRF1L"	0.488436478352732	1.73953105416023	1.2510945758075	296	273	45	129	0.152027027027027	0.472527472527473	2.43127616250239e-16	7.30080373326399e-17	6.1574865903571e-17	3.39327399037688e-31	5.80190321231808e-29	"up_in_CP-TP53-MPN"	NA
"OSGIN2"	0.366951210720455	1.89633384055359	1.52938262983313	296	273	33	111	0.111486486486486	0.406593406593407	1.32388243197304e-15	2.68940230023074e-16	2.13973521281976e-17	4.32949760000129e-31	7.3383101929761e-29	"up_in_CP-TP53-MPN"	NA
"CSTF3"	1.90148356580362	0.391194018619719	-1.5102895471839	296	273	124	32	0.418918918918919	0.117216117216117	1.64202743701162e-15	1.8017933341019e-16	3.36147807228334e-17	4.55366966639385e-31	7.65173527046111e-29	"up_in_pre-TP53-sAML"	NA
"COX6A1P2"	3.92466475385062	2.1616733684883	-1.76299138536233	296	273	267	192	0.902027027027027	0.703296703296703	3.8409098478778e-09	1.56759495707398e-09	5.00449990019329e-24	5.87792141062352e-31	9.79251659280971e-29	"up_in_pre-TP53-sAML"	NA
"IRGQ"	0.417120558637523	1.57019223106984	1.15307167243232	296	273	34	115	0.114864864864865	0.421245421245421	2.22442108807427e-16	4.57702804418688e-17	1.929924133171e-16	6.60791970365345e-31	1.09153873613231e-28	"up_in_CP-TP53-MPN"	NA
"CERS6"	0.424301613978507	1.38968704352139	0.965385429542879	296	273	41	125	0.138513513513514	0.457875457875458	1.22874648413666e-16	2.70714826133578e-17	3.76193636309757e-16	7.60391970046253e-31	1.24550926723879e-28	"NA"	NA
"RNMT"	1.24312150242164	2.67511442606867	1.43199292364703	296	273	87	179	0.293918918918919	0.655677655677656	1.16410804763934e-17	4.2386645851048e-18	3.55387363122268e-15	1.11882490429591e-30	1.81734458621132e-28	"up_in_CP-TP53-MPN"	NA
